# EV is used as shorthand, but the Elevation-volume and elevation-area tables were updated for all simulations.	
# Data	Description
# 2010NatFlowRun	Gains above Mead from the 2010 update run. Included to compare against to make sure no other changes were made in the sub-basin above Mead.
# ExistingEVTable	Existing EV (elevation volume) data is from a simulation made with the EV table included in the 2010 update natural flow and salt model. This EV table does not match the old (1963) or new (2009) EV table.
# OldEVTable	From a simulation using the 1963 EV table.
# NewEVTable	From a simulation using the 2009 EV table.
,2010NatFlowRun,ExistingEVTable,OldEVTable,NewEVTable
Jan-71,39395.80,39395.8,39395.72,39485.1
Feb-71,-32273.37,-32273.37,-33700.51,-35114.03
Mar-71,6316.64,6316.64,603.87,-1955.41
Apr-71,963.63,963.63,963.68,1636.54
May-71,30981.89,30981.89,30981.73,31771.55
Jun-71,10936.98,10936.98,10937.03,12067.65
Jul-71,54957.41,54957.41,62097.66,64912.24
Aug-71,89684.71,89684.71,89683.97,90840.95
Sep-71,-5316.54,-5316.54,-5315.92,-4888.81
Oct-71,-22969.76,-22969.76,-22970.15,-22772.2
Nov-71,19375.17,19375.17,19374.99,18937.29
Dec-71,-41829.75,-41829.75,-41829.49,-43866.44
Jan-72,34979.44,34979.44,34978.67,32852.52
Feb-72,28565.27,28565.27,28565.59,29494.7
Mar-72,-20176.51,-20176.51,-20177.26,-17694.2
Apr-72,-32162.37,-32162.37,-32162.08,-32048.32
May-72,-29822.36,-29822.36,-29822.39,-29813.24
Jun-72,2280.68,2280.68,2280.42,2344.38
Jul-72,23789.80,23789.8,23789.49,23819.87
Aug-72,32292.53,32292.53,32291.83,31974.57
Sep-72,29510.03,29510.03,29510.22,28314.15
Oct-72,41171.44,41171.44,41171.39,38564.32
Nov-72,6874.02,6874.02,6874.26,4110.08
Dec-72,-50240.40,-50240.4,-50240.86,-56034.4
Jan-73,-30026.71,-30026.71,-20518.83,-25629.89
Feb-73,16586.72,16586.72,16587.01,14955.48
Mar-73,-13890.74,-13890.74,-13890.75,-16229.67
Apr-73,-689.44,-689.44,-689.28,-5528.12
May-73,97156.40,97156.4,97156.74,96950.97
Jun-73,43958.52,43958.52,43958.13,43226.77
Jul-73,56586.22,56586.22,56586.85,57091.35
Aug-73,15901.30,15901.3,15901.13,17094.68
Sep-73,21413.31,21413.31,21413.11,22231.48
Oct-73,2270.38,2270.38,2270.72,2437.67
Nov-73,35705.28,35705.28,35705.1,35848.34
Dec-73,20370.38,20370.38,20370.12,21078.03
Jan-74,48036.63,48036.63,48037.06,46207.23
Feb-74,12754.30,12754.3,12754.77,13665.3
Mar-74,41479.60,41479.6,41479.26,42940.8
Apr-74,14861.70,14861.7,14862.17,17325.35
May-74,481.07,481.07,-9027.78,-7548.12
Jun-74,23656.51,23656.51,23656.34,23090.41
Jul-74,14280.96,14280.96,23789.68,20474.48
Aug-74,25949.27,25949.27,25949.13,24102.57
